artist,artist_bandcamp,location_bandcamp,origin
Airs,Airs,San Francisco,"San Francisco, CA, United States"
Akercocke,Akercocke,"London, UK","London, England, UK"
Akimbo,Akimbo,"Indianapolis, Indiana","Seattle, Washington"
Al Stewart,Al Stewart,Nevada,"Wimborne, England"
Aldebaran,Aldebaran,"Richmond, Virginia","Portland, OR, United States"
Aletheian,Aletheian,"Philadelphia, Pennsylvania","Lebanon, Pennsylvania, U.S."
Alex G,Alex G,"Seattle, Washington","Havertown, Pennsylvania, U.S."
Alexi Murdoch,Alexi Murdoch,UK,"London, England"
Algernon Cadwallader,Algernon Cadwallader,"Philadelphia, Pennsylvania","Yardley, Pennsylvania, U.S."
Alice Cooper,Alice Cooper,"Phoenix, Arizona","Phoenix, Arizona, U.S."
Alien Ant Farm,Alien Ant Farm,"Riverside, California","Riverside, California, U.S."
Alkaline Trio,Alkaline Trio,,"Chicago, Illinois, U.S."
All That Remains,All That Remains,"Springfield, Massachusetts","Springfield, Massachusetts, U.S."
All Time Low,All Time Low,Maryland,"Towson, Maryland, U.S."
Allegaeon,Allegaeon,"Denver, Colorado","Fort Collins, Colorado, U.S."
Alter Bridge,Alter Bridge,"Orlando, Florida","Orlando, Florida, U.S."
Amber Pacific,Amber Pacific,"Seattle, Washington","Federal Way, Washington, United States"
Amebix,Amebix,"Bristol, UK","Tavistock, Devon, UK"
Amen,Amen,"Austin, Texas","Los Angeles, California, U.S."
American Football,American Football,"Champaign, Illinois","Urbana, Illinois, U.S."
American Head Charge,American Head Charge,"Minneapolis, Minnesota","Minneapolis, Minnesota, U.S."
American Steel,American Steel,"Oakland, California","Oakland, California, USA"
Amos Lee,Amos Lee,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Amplifier,Amplifier,"Manchester, UK","Manchester, England"
Amusement Parks On Fire,Amusement Parks On Fire,UK,"Nottingham, England"
An Albatross,An Albatross,"Philadelphia, Pennsylvania","Wilkes-Barre, Pennsylvania, U.S."
An Endless Sporadic,An Endless Sporadic,"Los Angeles, California","Woodland Hills, California"
Anaal Nathrakh,Anaal Nathrakh,"Birmingham, UK","Birmingham, England"
Anal Cunt,Anal Cunt,"Boston, Massachusetts","Newton, Massachusetts, U.S."
Anamanaguchi,Anamanaguchi,"Brooklyn, New York","New York City, New York, United States"
Anathallo,Anathallo,"Chicago, Illinois","Mt. Pleasant, Michigan, United States"
And Also The Trees,And Also The Trees,"London, UK","Inkberrow, Worcestershire, England"
And Hell Followed With,And Hell Followed With,Michigan,"Detroit, MI, United States"
Andrew Bird,Andrew Bird,"Chicago, Illinois","Lake Forest, Illinois, U.S."
Angel Witch,Angel Witch,"London, UK","London, England"
Ani DiFranco,Ani DiFranco,"New Orleans, Louisiana","Buffalo, New York, US"
Animals As Leaders,Animals As Leaders,"Los Angeles, California","Washington D.C., U.S.[1]"
Anna Nalick,Anna Nalick,"Los Angeles, California","Glendora, California, U.S."
Annotations Of An Autopsy,Annotations Of An Autopsy,"Norwich, UK","Lowestoft, Suffolk, United Kingdom"
Annuals,Annuals,"Los Angeles, California","Raleigh, North Carolina, US"
Anthony Phillips,Anthony Phillips,UK,"Chiswick, England"
Anti-Flag,Anti-Flag,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania, United States"
Antioch Arrow,Antioch Arrow,"San Diego, California","San Diego, California, U.S."
Arab Strap,Arab Strap,"Scotland, UK","Falkirk, Scotland"
Arcane Roots,Arcane Roots,"Kingston Upon Thames, UK","Kingston upon Thames, England"
Archers of Loaf,Archers of Loaf,North Carolina,"Chapel Hill, North Carolina, U.S."
Architects,Architects,"Brighton, UK","Brighton, East Sussex, United Kingdom"
Ares Kingdom,Ares Kingdom,"Kansas City, Missouri","Kansas City, Missouri"
Arizmenda,Arizmenda,California,"Seal Beach, CA"
Arkaik,Arkaik,"London, UK","Oakland, California, U.S."
Armored Saint,Armored Saint,"Los Angeles, California","Los Angeles, California, U.S."
Arms and Sleepers,Arms and Sleepers,"Berlin, Germany","Boston, MA, United States"
Arsis,Arsis,"Virginia Beach, Virginia","Virginia Beach, Virginia, U.S."
Arthur Russell,Arthur Russell,"New York, New York","Oskaloosa, IA, United States"
Artifex Pereo,Artifex Pereo,"Louisville, Kentucky","Louisville, Kentucky, U.S.[1][2]"
As Cities Burn,As Cities Burn,"Nashville, Tennessee","Mandeville, Louisiana, US"
As Eden Burns,As Eden Burns,"Houston, Texas","Houston, TX, United States"
As I Lay Dying,As I Lay Dying,"San Diego, California","San Diego, California, U.S."
Ash Borer,Ash Borer,"Arcata, California","Arcata, CA"
Ashbury,Ashbury,"Atlanta, Georgia","Tucson, AZ, United States"
Asking Alexandria,Asking Alexandria,UK,"York, North Yorkshire, United Kingdom"
Asobi Seksu,Asobi Seksu,"Brooklyn, New York","New York City, New York, United States"
Assassin,Assassin,"Harrisburg, Pennsylvania","San Diego, California"
Astronautalis,Astronautalis,"Brooklyn, New York","Jacksonville, Florida"
Asunder,Asunder,"Bordeaux, France","Oakland, CA, United States"
At All Cost,At All Cost,"Austin, Texas","Austin, Texas, U.S."
Ataxia,Ataxia,"Almería, Spain","Los Angeles, CA, United States"
Atheist,Atheist,"Sarasota, Florida","Sarasota, Florida, U.S."
Atrophy,Atrophy,"Los Angeles, California","Tucson, Arizona, U.S."
Attila,Attila,"Milan, Italy","Atlanta, GA, United States"
Au Revoir Simone,Au Revoir Simone,"Brooklyn, New York","Brooklyn, New York, U.S."
Audio Karate,Audio Karate,"Los Angeles, California","Rosemead, California, USA"
August Burns Red,August Burns Red,"Lancaster, Pennsylvania","Lancaster, Pennsylvania, U.S."
Austrian Death Machine,Austrian Death Machine,"San Marcos, California","San Diego, California, U.S."
Authority Zero,Authority Zero,"Mesa, Arizona","Mesa, Arizona, U.S."
Automatic Loveletter,Automatic Loveletter,"Los Angeles, California","Tampa, Florida, U.S."
Autopilot Off,Autopilot Off,New York,"Orange County, New York, USA"
Autopsy,Autopsy,,"Contra Costa County, California, U.S."
Avail,Avail,"Richmond, Virginia","Reston, Virginia, U.S."
Avenged Sevenfold,Avenged Sevenfold,California,"Huntington Beach, California, U.S."
Averse Sefira,Averse Sefira,"Austin, Texas","Austin, Texas"
Azriel,Azriel,"Glasgow, UK","Glasgow, United Kingdom"
Azure Ray,Azure Ray,"Omaha, Nebraska","Athens, Georgia, United States"
Bad Astronaut,Bad Astronaut,"Santa Barbara, California","Santa Barbara, California"
Bad Books,Bad Books,"Alpharetta, Georgia","Atlanta, Georgia"
Bad Religion,Bad Religion,Los Angeles,"Los Angeles, California, U.S."
Badfinger,Badfinger,"Swansea, UK","Swansea, Wales"
Badlands,Badlands,"Fitzroy, Australia","Los Angeles, California, U.S."
Badly Drawn Boy,Badly Drawn Boy,UK,"Bolton, Greater Manchester, England"
Balmorhea,Balmorhea,,"Austin, Texas, US"
Band of Horses,Band of Horses,"Charleston, South Carolina","Seattle, WA, United States"
Bang Camaro,Bang Camaro,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Banished,Banished,,"Buffalo, NY, United States"
Banner Pilot,Banner Pilot,Minneapolis,"Minneapolis, Minnesota, United States"
Barcelona,Barcelona,"Barcelona, Spain","Arlington, Virginia, U.S."
Bark Psychosis,Bark Psychosis,"London, UK","London, England"
Baroness,Baroness,"Philadelphia, Pennsylvania","Savannah, Georgia, U.S."
Basilisk,Basilisk,The Netherlands,"Bristol, England"
Bastro,Bastro,"Louisville, Kentucky","Louisville, Kentucky, United States"
Bat For Lashes,Bat For Lashes,"London, UK","London, England"
Battlefields,Battlefields,"Minneapolis, Minnesota","Fargo, ND"
Battles,Battles,"New York, New York","New York City, United States"
Bauhaus,Bauhaus,UK,"Northampton, England"
Be Your Own Pet,Be Your Own Pet,"Nashville, Tennessee","Nashville, Tennessee, U.S."
Beach House,Beach House,"Baltimore, Maryland","Baltimore, Maryland, U.S."
Beat Happening,Beat Happening,"Olympia, Washington","Olympia, Washington, U.S."
Bedhead,Bedhead,"Dallas, Texas","Dallas, Texas, United States"
Beecher,Beecher,"Manchester, UK","Manchester, England"
Believer,Believer,Pennsylvania,"Colebrook Township, Pennsylvania, U.S."
Belinda Carlisle,Belinda Carlisle,"Austin, Texas","Los Angeles, California, U.S."
Belle and Sebastian,Belle and Sebastian,"Glasgow, UK","Glasgow, Scotland"
Belong,Belong,"New Orleans, Louisiana","New Orleans, Louisiana, U.S."
Ben Folds,Ben Folds,"Nashville, Tennessee","Winston-Salem, North Carolina, U.S."
Ben Harper,Ben Harper,California,"Pomona, California, U.S."
Benediction,Benediction,"Plymouth, UK","Birmingham, England"
Best Coast,Best Coast,"Los Angeles, California","Los Angeles, US"
Beth Orton,Beth Orton,"London, UK","Norwich, England"
Betty Davis,Betty Davis,"New York, New York","Durham, NC, United States"
Bibio,Bibio,UK,"West Midlands, England"
Big Big Train,Big Big Train,UK,"Bournemouth, Dorset, England"
Big Black,Big Black,"Chicago, Illinois","Evanston, Illinois, U.S."
Big Star,Big Star,"Memphis, Tennessee","Memphis, Tennessee, U.S."
Big Wreck,Big Wreck,,"Boston, United States"
Bikini Kill,Bikini Kill,"Olympia, Washington","Olympia, Washington, U.S."
Bill Callahan,Bill Callahan,"Austin, Texas","Silver Spring, Maryland, U.S."
Bill Fay,Bill Fay,"London, UK","[1][2]London, England"
Billy Bragg,Billy Bragg,"London, UK","Barking, Essex, England"
Biomechanical,Biomechanical,"London, UK","London, England"
Bitch Magnet,Bitch Magnet,"Chapel Hill, North Carolina","Oberlin, Ohio, United States"
Black Cobra,Black Cobra,"San Francisco, California","San Francisco, California"
Black Eyes,Black Eyes,"Washington, D.C.","Washington, D.C., United States"
Black Kids,Black Kids,"Jacksonville, Florida","Jacksonville, Florida"
Black Math Horseman,Black Math Horseman,"Los Angeles, California",Los Angeles
Black Moth Super Rainbow,Black Moth Super Rainbow,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania, US"
Black Pyramid,Black Pyramid,"Northampton, Massachusetts","Northampton, MA, United States"
Black Stone Cherry,Black Stone Cherry,Kentucky,"Edmonton, Kentucky, U.S."
Black Tusk,Black Tusk,"Savannah, Georgia","Savannah, Georgia, U.S."
Blackbird Blackbird,Blackbird Blackbird,California,San Francisco
Bleeding Through,Bleeding Through,California,"Orange County, California, U.S."
Blessthefall,Blessthefall,"Phoenix, Arizona","Phoenix, Arizona, U.S."
Blind Faith,Blind Faith,"Dublin, Ireland","Ripley, Surrey, England"
Blind Illusion,Blind Illusion,"Oakland, California","Richmond, California, U.S."
Blind Pilot,Blind Pilot,"Astoria, Oregon","Astoria, Oregon"
Blitz,Blitz,Ohio,"New Mills, Derbyshire, United Kingdom"
Blitzen Trapper,Blitzen Trapper,"Portland, Oregon","Portland, Oregon, United States"
Blitzkrieg,Blitzkrieg,"Newburgh, New York","Leicester, England"
Bloc Party,Bloc Party,"London, UK","London, England"
Blonde Redhead,Blonde Redhead,"New York, New York","New York City, U.S."
Blood Red Shoes,Blood Red Shoes,"Brighton, UK","Brighton, England"
Bloody Panda,Bloody Panda,"New York, New York",New York City
Blotted Science,Blotted Science,"San Antonio, Texas","San Antonio, Texas, U.S."
Blue Cheer,Blue Cheer,"San Francisco, California","San Francisco, California, U.S."
Blue Stahli,Blue Stahli,"Detroit, Michigan","Phoenix, Arizona, U.S."
Blur,Blur,"Lanham, Maryland","London, England"
Bo Diddley,Bo Diddley,"Mc Comb, Mississippi","McComb, MS, United States"
Bob Mould,Bob Mould,"San Francisco, California","Malone, New York, United States"
Bodychoke,Bodychoke,"London, UK","London, England"
Bolt Thrower,Bolt Thrower,"Coventry, UK","Coventry, England"
Bombay Bicycle Club,Bombay Bicycle Club,"London, UK","London, England"
Bon Iver,Bon Iver,"Eau Claire, Wisconsin","Eau Claire, Wisconsin, U.S."
Bongripper,Bongripper,"Chicago, Illinois","Chicago, Illinois, U.S."
Bongzilla,Bongzilla,"Madison, Wisconsin","Madison, Wisconsin, U.S."
Born Against,Born Against,"Baltimore, Maryland","New York City, United States"
Bosse-de-Nage,Bosse-de-Nage,,"San Francisco, California, U.S."
Botch,Botch,"Tacoma, Washington","Tacoma, Washington, U.S."
Bowerbirds,Bowerbirds,"Raleigh, North Carolina",Raleigh
Bowery Electric,Bowery Electric,"New York, New York","New York City, New York, United States"
Boy Hits Car,Boy Hits Car,"Los Angeles, California","Los Angeles, California, U.S."
Boysetsfire,Boysetsfire,Delaware,"Newark, Delaware, U.S."
Boz Scaggs,Boz Scaggs,"Dallas, Texas","Plano, Texas, U.S."
Braid,Braid,"Champaign, Illinois","Champaign, Illinois, U.S."
Brain Drill,Brain Drill,"Santa Cruz, California","Santa Cruz, California"
Brainiac,Brainiac,"Dayton, Ohio","Dayton, Ohio, United States"
Brandi Carlile,Brandi Carlile,"Seattle, Washington",Brandi Carlile
Brant Bjork,Brant Bjork,"Palm Desert, California","Palm Springs, California, U.S."
Bratmobile,Bratmobile,"Olympia, Washington","Olympia, Washington, U.S."
Breathe Carolina,Breathe Carolina,"Denver, Colorado","Denver, Colorado, U.S."
Breather Resist,Breather Resist,"Louisville, Kentucky","Louisville, Kentucky, U.S."
Brendan Benson,Brendan Benson,"Nashville, Tennessee","Royal Oak, Michigan, U.S."
Brigade,Brigade,"La Crosse, Wisconsin","London, England"
Bright Eyes,Bright Eyes,"Omaha, Nebraska","Omaha, Nebraska, United States"
Broadcast,Broadcast,UK,"Birmingham, England"
Broadway Calls,Broadway Calls,"Rainier, Oregon","Rainier, Oregon, U.S."
Brodequin,Brodequin,"Knoxville, Tennessee","Knoxville, Tennessee, U.S."
Broken Hearts Are Blue,Broken Hearts Are Blue,"Detroit, Michigan","Detroit, MI, United States"
Brother Dege,Brother Dege,"Lafayette, Louisiana","Lafayette, Louisiana"
Brutal Truth,Brutal Truth,"New York, New York","Rochester, New York, United States"
Brutality Will Prevail,Brutality Will Prevail,UK,"Cardiff, Wales"
Buddy Guy,Buddy Guy,"Chicago, Illinois","Lettsworth, Louisiana, U.S."
Budgie,Budgie,Germany,"Cardiff, Wales"
Buffalo Tom,Buffalo Tom,"Boston, Massachusetts","Boston, Massachusetts, United States"
Bullets And Octane,Bullets And Octane,"Los Angeles, California","St. Louis, Missouri, United States"
Bumblefoot,Bumblefoot,"New Brunswick, New Jersey","Brooklyn, New York, U.S."
Buried Alive,Buried Alive,"Buffalo, New York","Buffalo, New York, U.S."
Burn,Burn,"New York, New York","New York, United States"
Burn Halo,Burn Halo,California,Costa Mesa
Burning Airlines,Burning Airlines,"Baltimore, Maryland","Washington, D.C., U.S."
Bush,Bush,"London, UK","London, England"
Butch Walker,Butch Walker,"Los Angeles, California","Rome, GA, United States"
Butthole Surfers,Butthole Surfers,"Austin, Texas","San Antonio, Texas, U.S."
Buzzcocks,Buzzcocks,"Manchester, UK","Bolton, Greater Manchester, England"
Byzantine,Byzantine,West Virginia,"Charleston, West Virginia, U.S."
Cacophony,Cacophony,"Oklahoma City, Oklahoma","San Francisco, California, U.S."
Cactus,Cactus,"Palmerston North, New Zealand","New York, NY, United States"
Cake,Cake,"Albany, New York","Sacramento, California, U.S."
Califone,Califone,"Chicago, Illinois","Chicago, Illinois, United States"
Candiria,Candiria,"Brooklyn, New York","Brooklyn, New York, U.S."
Candlebox,Candlebox,"Seattle, Washington","Seattle, Washington"
Candy Claws,Candy Claws,"New York, New York","Fort Collins, Colorado, U.S."
Canned Heat,Canned Heat,"Los Angeles, California","Los Angeles, California, U.S."
Cannibal Corpse,Cannibal Corpse,"Buffalo, New York","Buffalo, New York, U.S."
Canvas Solaris,Canvas Solaris,"Statesboro, Georgia","Statesboro, Georgia"
Captain Beyond,Captain Beyond,"Los Angeles, California","Los Angeles, California"
Car Bomb,Car Bomb,"Brooklyn, New York","Rockville Centre, New York, U.S."
Car Seat Headrest,Car Seat Headrest,,"Leesburg, Virginia, U.S."
Caravan,Caravan,"Abbotsford, British Columbia","Canterbury, Kent, England"
Carcass,Carcass,"Liverpool, UK","Liverpool, England"
Carmen,Carmen,"London, UK","Los Angeles, California, U.S."
Cartel,Cartel,"Atlanta, Georgia","Conyers, Georgia, U.S."
Casey Jones,Casey Jones,,"Jacksonville, Florida"
Caspian,Caspian,"Denpasar, Indonesia","Beverly, Massachusetts, United States"
Cass McCombs,Cass McCombs,California,"Concord, California, U.S."
Cassino,Cassino,"Nashville, Tennessee","Huntsville, Alabama, United States"
Castor,Castor,"Denton, Texas","Champaign, Illinois, U.S."
Cat Power,Cat Power,"Miami, Florida","Atlanta, Georgia, U.S."
Catatonia,Catatonia,"Coronel, Chile","Cardiff, Wales"
Cathedral,Cathedral,"Philadelphia, Pennsylvania","Coventry, England"
Catherine,Catherine,"Duluth, Georgia","Sacramento, CA"
Cattle Decapitation,Cattle Decapitation,"San Diego, California","San Diego, California, U.S."
Cavalera Conspiracy,Cavalera Conspiracy,"Los Angeles, California","Phoenix, Arizona, U.S."
Cave In,Cave In,"Boston, Massachusetts","Methuen, Massachusetts, U.S."
Celldweller,Celldweller,"Los Angeles, California","New York City, U.S."
Cephalic Carnage,Cephalic Carnage,"Denver, Colorado","Denver, Colorado, U.S."
Cephalotripsy,Cephalotripsy,"San Diego, California","San Diego, California, U.S."
Cerberus Shoal,Cerberus Shoal,"Portland, Maine","Boston, Massachusetts, USA"
Cerebral Bore,Cerebral Bore,"Glasgow, UK","Glasgow, Scotland, United Kingdom"
Chairlift,Chairlift,New York,"Boulder, Colorado, United States"
Charlotte Gainsbourg,Charlotte Gainsbourg,France,"Marylebone, London, England"
Chavez,Chavez,"Kula, Serbia","New York, New York, United States"
Chemlab,Chemlab,"Washington, D.C.","Washington D.C., U.S."
Chokebore,Chokebore,"Los Angeles, California","Honolulu, Hawaii, U.S."
Chris Isaak,Chris Isaak,"Nashville, Tennessee","Stockton, California, U.S."
Christian Death,Christian Death,"Anaheim, California","Los Angeles County, California, U.S."
Christopher Cross,Christopher Cross,"Austin, Texas","San Antonio, Texas, U.S."
Chrome,Chrome,"Norwich, UK","San Francisco, California, U.S."
Chuck Berry,Chuck Berry,"St. Louis, Missouri","St. Louis, Missouri, U.S."
Chuck Ragan,Chuck Ragan,California,"Houston, TX, United States"
Cinderella,Cinderella,"Maastricht, Netherlands","Philadelphia, Pennsylvania, U.S."
Cinemechanica,Cinemechanica,"Athens, Georgia","Athens, GA"
Circa Survive,Circa Survive,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Circle of Dust,Circle of Dust,"Los Angeles, California","New York City, U.S."
Circulatory System,Circulatory System,"Athens, Georgia","Athens, Georgia, United States"
Circus Lupus,Circus Lupus,"Washington, D.C.","Madison, Wisconsin, United States"
Cire,Cire,"New Orleans, Louisiana","New Orleans, LA, United States"
Cirith Ungol,Cirith Ungol,"Ventura, California","Ventura, California, U.S."
City of Caterpillar,City of Caterpillar,"Richmond, Virginia","Richmond, Virginia, United States"
City of Ships,City of Ships,,"Pensacola, FL, United States"
Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Clikatat Ikatowi,Clikatat Ikatowi,"San Diego, California","San Diego, CA, United States"
Clinic,Clinic,"Fresno, California","Crosby, Liverpool, England"
Cloud Cult,Cloud Cult,"Viroqua, Wisconsin","St. Cloud, Minnesota, U.S."
Cloud Nothings,Cloud Nothings,"Cleveland, Ohio","Cleveland, Ohio, U.S."
Cloud Rat,Cloud Rat,Michigan,"Mt Pleasant, Michigan"
Cloudkicker,Cloudkicker,"Columbus, Ohio","Columbus, Ohio, U.S."
Coal Chamber,Coal Chamber,"Los Angeles, California","Los Angeles, California, U.S."
Coalesce,Coalesce,"Kansas City, Missouri","Kansas City, Missouri, U.S."
Cock Sparrer,Cock Sparrer,"London, UK","London, England"
Coconut Records,Coconut Records,"Los Angeles, California","Los Angeles, California, U.S."
Coffinworm,Coffinworm,"Indianapolis, Indiana","Indianapolis, IN, United States"
Coheed and Cambria,Coheed and Cambria,"Nyack, New York","Nyack, New York, U.S."
Coke Bust,Coke Bust,"Washington D.C., D.C.",Washington D.C.
Cold,Cold,"Houston, Texas","Jacksonville, Florida, U.S."
Cold As Life,Cold As Life,"Detroit, Michigan","Detroit, Michigan, U.S."
Coldplay,Coldplay,"Weed, California","London, England"
Coliseum,Coliseum,"Louisville, Kentucky","Louisville, Kentucky, US"
Collide,Collide,"Dallas, Texas","Los Angeles, California, U.S."
Colossal,Colossal,West Virginia,"Chicago, Illinois, United States"
Colour Revolt,Colour Revolt,,"Oxford, Mississippi"
Coma Cinema,Coma Cinema,North Carolina,"Spartanburg, South Carolina, U.S."
Comadre,Comadre,,"Redwood City, CA, United States"
Comets on Fire,Comets on Fire,"Santa Cruz, California","Santa Cruz, California, U.S."
Common Rider,Common Rider,California,"Berkeley, California, U.S."
Comus,Comus,UK,"London, England"
Conan,Conan,"Syracuse, New York","Liverpool, England"
Conditions,Conditions,"Richmond, Virginia","Richmond, Virginia"
Confessor,Confessor,"Raleigh, North Carolina","Raleigh, North Carolina, United States"
Confide,Confide,"Los Angeles, California","Sunland, California"
Conflict,Conflict,Hawthorne,"Eltham, London, England"
Conor Oberst,Conor Oberst,"Omaha, Nebraska","Omaha, Nebraska, United States"
Control Denied,Control Denied,"Tampa, Florida","Florida, United States"
Cormorant,Cormorant,,"San Francisco, California, United States"
Cornershop,Cornershop,"London, UK","Leicester, England"
Corpus Christi,Corpus Christi,"Ciudad Cuauhtemoc, Mexico","Cincinnati, Ohio, USA"
Cough,Cough,"Richmond, Virginia","Richmond, VA, United States"
Cracker,Cracker,"Athens, Georgia","Richmond, Virginia, U.S."
Crass,Crass,"Epping, UK","Epping, Essex, England"
Crazy Arm,Crazy Arm,UK,"Plymouth, Devon, United Kingdom"
Creed,Creed,"Tallahassee, Florida","Tallahassee, Florida, U.S."
Creedence Clearwater Revival,Creedence Clearwater Revival,"El Cerrito, California","El Cerrito, California, U.S."
Creeper,Creeper,"Newtown, Pennsylvania","Southampton, England"
Crime In Stereo,Crime In Stereo,New York,"Levittown, New York, United States"
Cro-Mags,Cro-Mags,"New York, New York","New York City, U.S."
Crotchduster,Crotchduster,"Williamsburg, Florida","Sanford, FL, United States"
Crowbar,Crowbar,"New Orleans, Louisiana","New Orleans, LA, United States"
Cruel Hand,Cruel Hand,"Portland, Maine","Portland, Maine, U.S."
Cryptic Slaughter,Cryptic Slaughter,"Santa Monica, California","Santa Monica, California, U.S."
Crystal Antlers,Crystal Antlers,"Long Beach, California","Long Beach, California"
Crystal Stilts,Crystal Stilts,"New York, New York","New York City, New York, U.S."
Cursive,Cursive,"Omaha, Nebraska","Omaha, Nebraska, United States"
Curve,Curve,UK,"London, England"
Cyanotic,Cyanotic,"Chicago, Illinois","Chicago, Illinois, U.S."
Cymbals Eat Guitars,Cymbals Eat Guitars,"New York, New York",New York City
DJ Shadow,DJ Shadow,California,"Davis, California, U.S."
Dag Nasty,Dag Nasty,"Washington, D.C.","Washington D.C., U.S."
Damien Jurado,Damien Jurado,"Seattle, Washington","Seattle, Washington, United States"
Damiera,Damiera,"Chicago, Illinois","Buffalo, New York"
Damn Yankees,Damn Yankees,"Beaufort, North Carolina","New York, New York, U.S."
Dan Auerbach,Dan Auerbach,"Nashville, Tennessee","Akron, OH, United States"
Dance Club Massacre,Dance Club Massacre,"Chicago, Illinois","Chicago, Illinois, U.S."
Dangerous Toys,Dangerous Toys,Texas,"Austin, Texas, United States"
Daniel Johnston,Daniel Johnston,"Waller, Texas","New Cumberland, West Virginia, U.S."
Danielson,Danielson,"Clarksboro, New Jersey","Clarksboro, New Jersey, U.S."
Darwin Deez,Darwin Deez,"Denver, Colorado","New York, New York, United States"
Daughters,Daughters,"Providence, Rhode Island","Providence, Rhode Island, U.S"
Dave Matthews Band,Dave Matthews Band,"Charlottesville, Virginia","Charlottesville, Virginia, U.S."
Davenport Cabinet,Davenport Cabinet,"Nyack, New York","New York City, United States"
David Axelrod,David Axelrod,"Los Angeles, California","Los Angeles, CA, United States"
