artist,href,style,country
ABNORMAL THOUGHT PATTERNS,10894,Tech/Extreme Prog Metal,United States
ABODEAN SKYE,6571,Progressive Metal,United Kingdom
ABORYM,5320,Tech/Extreme Prog Metal,Italy
"ABOU-KHALIL, RABIH",3910,Prog Folk,Lebanon
ABOUT TESS,4041,Post Rock/Math rock,Japan
ABOUT:BLANK,11229,Heavy Prog,Italy
ABOVE SYMMETRY / EX ASPERA,5323,Progressive Metal,Norway
"ABRAHAM, LEE",6628,Crossover Prog,United Kingdom
ABRAXAS,3,Neo-Prog,Poland
ABRAXIS,9843,Jazz Rock/Fusion,Belgium
ABRETE GANDUL,2471,Eclectic Prog,Chile
ABSCHAUM,10558,Krautrock,France
ABSCONDITUS,12681,Tech/Extreme Prog Metal,France
ABSENTE H,7259,Crossover Prog,Spain
ABSENTHIA,4562,Rock Progressivo Italiano,Italy
ABSINTHE JUNK,7044,Crossover Prog,United States
ABSOLACE,5895,Progressive Metal,United Arab Emirates
ABSOLUTE ELSEWHERE,680,Eclectic Prog,United Kingdom
ABSOLUTE ZERO,681,RIO/Avant-Prog,United States
ABSOLUUTTINEN NOLLAPISTE,2488,Prog Related,Finland
ABSORBED,4948,Tech/Extreme Prog Metal,Spain
ABSTRACCIÓN,11450,Psychedelic/Space Rock,Spain
ABSTRACT CONCRETE,12622,Eclectic Prog,United Kingdom
ABSTRACT TRUTH,4899,Indo-Prog/Raga Rock,South Africa
ABSTRACTION LAYER,6251,Symphonic Prog,Brazil
ABSTRAKT,9386,Progressive Metal,Poland
ABSURDCUS,7440,Eclectic Prog,Romania
ABUELO MIGUEL,12446,Heavy Prog,Argentina
ABUNAI!,4660,Psychedelic/Space Rock,United States
ABUS DANGEREUX,2799,Jazz Rock/Fusion,France
ABYDOS,1289,Progressive Metal,Germany
ABYSSE,7918,Experimental/Post Metal,France
ACADEMIE OF FARSIDE,4387,Eclectic Prog,Indonesia
ACANTHE,5315,Crossover Prog,France
ACANTILADOS,9563,Post Rock/Math rock,Argentina
ACAUSAL INTRUSION,12317,Tech/Extreme Prog Metal,United States
ACCENT,4044,Symphonic Prog,Romania
ACCEPT,4943,Neo-Prog,Japan
ACCION ROCK BAND,10715,Crossover Prog,Spain
ACCOLADE,9380,Prog Folk,United States
ACCOLADE,4229,Prog Folk,United Kingdom
ACCOMPLICE,1197,Progressive Metal,United States
ACCORDO DEI CONTRARI,2870,Jazz Rock/Fusion,Italy
ACHE,1753,Symphonic Prog,Denmark
ACHING BEAUTY,4159,Progressive Metal,France
ACHOKARLOS,8196,Tech/Extreme Prog Metal,Spain
ACHTZEHN KARAT GOLD,3418,Krautrock,Germany
ACI,8066,Progressive Electronic,Germany
ACID DEATH,6672,Tech/Extreme Prog Metal,Greece
ACID FLORIANI,6707,Psychedelic/Space Rock,Russia
ACID MOTHERS TEMPLE,2572,Psychedelic/Space Rock,Japan
ACID RAIN,3367,Progressive Metal,Serbia
ACID RAIN,5406,Progressive Metal,Argentina
ACID RAIN,6417,Progressive Metal,Spain
ACID ROOSTER,10999,Psychedelic/Space Rock,Germany
ACIDENTE,4,Prog Related,Brazil
ACINTYA,4701,Eclectic Prog,France
ACOLYTE,11787,Progressive Metal,Australia
ACOLYTE,8386,Tech/Extreme Prog Metal,United Kingdom
ACQUA FRAGILE,5,Rock Progressivo Italiano,Italy
ACQUA LIBERA,10543,Jazz Rock/Fusion,Italy
ACRIMÖNIA,5324,Tech/Extreme Prog Metal,Poland
ACROSS THE SUN,5965,Tech/Extreme Prog Metal,United States
ACROSS THE WAVES,9630,Post Rock/Math rock,Iran
ACROSS TUNDRAS,4077,Experimental/Post Metal,United States
ACT OF ENTROPY,12378,Experimental/Post Metal,United Kingdom
ACTARUS,8940,Post Rock/Math rock,Luxembourg
ACTION & TENSION & SPACE,10782,Psychedelic/Space Rock,Norway
ACTIONFREDAG,12793,Canterbury Scene,Norway
ACTIVE HEED,8393,Crossover Prog,Italy
ACTIVITIES OF DUST,7489,Post Rock/Math rock,United States
ACTUAL MUSIC QUARTET RSM,3636,Post Rock/Math rock,Russia
ACUITY,1274,Symphonic Prog,United States
ACUTE MIND,6396,Progressive Metal,Poland
ACYL,7437,Experimental/Post Metal,France
AD ASTRA,10183,Symphonic Prog,United States
AD ASTRA,5894,Progressive Metal,United States
AD INFINITUM,102,Neo-Prog,United States
AD MAIORA,8885,Rock Progressivo Italiano,Italy
AD NAUSEAM,11690,RIO/Avant-Prog,United Kingdom
AD NAUSEAM,11691,Tech/Extreme Prog Metal,Italy
AD'ABSURDUM,9627,Psychedelic/Space Rock,Switzerland
ADAGIO,1783,Progressive Metal,France
ADARO,2132,Prog Folk,Germany
ADDICTHEAD,10294,Psychedelic/Space Rock,Switzerland
"ADDICTION DREAM, THE",7186,Crossover Prog,United States
ADDISON PROJECT,582,Jazz Rock/Fusion,Canada
ADEBISI SHANK,5814,Post Rock/Math rock,Ireland
ADEIA,8829,Tech/Extreme Prog Metal,Netherlands
"ADEKAEM, THE",11840,Neo-Prog,Poland
ADHARA,10579,Progressive Metal,France
ADHARMA,6851,Rock Progressivo Italiano,Italy
ADMIRAL BROWNING,6735,Experimental/Post Metal,United States
ADN,8616,Neo-Prog,France
ADRAMELCH,2038,Progressive Metal,Italy
ADRIFT,4100,Experimental/Post Metal,Spain
"ADVANCEMENT, THE",5838,Crossover Prog,United States
ADVENT,7,Eclectic Prog,United States
"ADVENT EQUATION, THE",7894,Tech/Extreme Prog Metal,Mexico
ADVENT HORIZON,7381,Heavy Prog,United States
ADVENTURE,2274,Symphonic Prog,Norway
ADVOCACY,12684,Progressive Metal,Denmark
AEBSENCE,5966,Progressive Metal,Hungary
AELEMENTI,10646,Rock Progressivo Italiano,Italy
AELIAN,740,Neo-Prog,Italy
AEOLIA,8270,Tech/Extreme Prog Metal,United States
AEOLUS,1296,Progressive Metal,Netherlands
AEON,8343,Progressive Electronic,France
AEON OF HORUS,5203,Tech/Extreme Prog Metal,Australia
AEON ZEN,4447,Progressive Metal,United Kingdom
AEONS,11181,Progressive Metal,United Kingdom
AERA,1022,Jazz Rock/Fusion,Germany
AERIAL,4053,Post Rock/Math rock,Sweden
AERODROM,3270,Prog Related,Yugoslavia
AERODYNE FLEX,8014,Tech/Extreme Prog Metal,United States
AESTHESYS,8301,Post Rock/Math rock,Russia
AETERNAM,12433,Tech/Extreme Prog Metal,Canada
AETHELLIS,723,Neo-Prog,United States
AETHENOR,3031,Progressive Electronic,Multi-National
AETHER,8,Symphonic Prog,Brazil
AETHER,12558,Post Rock/Math rock,Italy
AETHERIA CONSCIENTIA,12002,Experimental/Post Metal,France
AETHERIUS,3125,Progressive Metal,United States
AEVITERNE,12120,Tech/Extreme Prog Metal,United States
AFASIA,10407,Progressive Metal,Italy
AFENGINN,3107,RIO/Avant-Prog,Denmark
AFFECTOR,7396,Progressive Metal,Multi-National
AFFINITY,1100,Eclectic Prog,United Kingdom
AFFORESTED,4928,Prog Folk,United Kingdom
AFFORMANCE,5573,Post Rock/Math rock,Greece
AFION,5079,Prog Folk,Croatia
AFROSKULL,5120,Jazz Rock/Fusion,United States
AFTER CRYING,9,Symphonic Prog,Hungary
AFTER DINNER ,2942,RIO/Avant-Prog,Japan
AFTER FOREST,10592,Tech/Extreme Prog Metal,Finland
AFTER FOREVER,3375,Progressive Metal,Netherlands
AFTER MY OWN,4594,Experimental/Post Metal,United States
AFTER THE FALL,2741,Heavy Prog,United States
AFTER THE FIRE,4040,Symphonic Prog,United Kingdom
AFTER...,4996,Crossover Prog,Poland
AFTERBIRTH,12595,Tech/Extreme Prog Metal,United States
AFTERGLOW,927,Neo-Prog,France
AFTERLIFE,8955,Progressive Electronic,United States
AFUCHE,7572,RIO/Avant-Prog,United States
AG A.M.,4677,Krautrock,Germany
AGALLOCH,1933,Experimental/Post Metal,United States
AGAMEMNON,2410,Psychedelic/Space Rock,Switzerland
AGAPE,4712,Prog Folk,Canada
AGARTHA,7150,Tech/Extreme Prog Metal,United States
AGATHORN,7915,Crossover Prog,Denmark
AGE OF NEMESIS,260,Progressive Metal,Hungary
AGE OF SILENCE,2361,Tech/Extreme Prog Metal,Norway
AGENESS,10,Neo-Prog,Finland
AGENT FRESCO,12569,Heavy Prog,Iceland
AGENTS OF MERCY,4650,Symphonic Prog,Sweden
AGES GONE,8468,Experimental/Post Metal,Germany
AGHARTA,6255,Jazz Rock/Fusion,Canada
AGHARTA,5190,Progressive Metal,Netherlands
AGHORA,1226,Tech/Extreme Prog Metal,United States
AGINCOURT,7290,Prog Folk,United Kingdom
AGITATION FREE,627,Krautrock,Germany
AGNESIS,10498,Progressive Metal,Australia
"AGNINI, STEFANO",10435,Rock Progressivo Italiano,Italy
AGNOSIA,6898,Progressive Metal,Greece
AGNOST DEI,4924,Progressive Metal,Russia
AGNUS,476,Symphonic Prog,Argentina
AGNUS DEI,1335,Prog Related,Austria
AGNUS GRAAL,4066,Symphonic Prog,Brazil
AGORA,1653,Jazz Rock/Fusion,Italy
AGORA,1484,Progressive Metal,Mexico
AGRABAH,9615,Crossover Prog,Argentina
"AGUILAR, ILDEFONSO",2950,Progressive Electronic,Spain
"AGUILLAR, EDUARDO",9579,Crossover Prog,Brazil
AGUSA,8935,Psychedelic/Space Rock,Sweden
AHKMED,4870,Psychedelic/Space Rock,Australia
AHLEUCHATISTAS,2712,RIO/Avant-Prog,United States
AHMSHERE,8718,Neo-Prog,Netherlands
AHOORA,6095,Crossover Prog,Iran
AHORA MAZDA,2941,Psychedelic/Space Rock,Netherlands
AHVAK,1325,RIO/Avant-Prog,Israel
AI,10204,Post Rock/Math rock,Italy
AICAN,7060,Heavy Prog,Russia
AIGUES VIVES,4440,Prog Folk,Germany
AIMING FOR ENRIKE,10007,Post Rock/Math rock,Norway
AIN SOPH,11,Jazz Rock/Fusion,Japan
AINA,823,Progressive Metal,Netherlands
AINIGMA,1766,Krautrock,Germany
AINMATTER,6889,Tech/Extreme Prog Metal,United States
AINUR,2886,Rock Progressivo Italiano,Italy
AIR,7765,Krautrock,Germany
AIR CANDA,11004,RIO/Avant-Prog,Russia
"AIRAKSINEN, PEKKA",8839,Progressive Electronic,Finland
AIRBAG,4965,Neo-Prog,Norway
AIRBRIDGE,6921,Neo-Prog,United Kingdom
"AIREY, DON",5499,Prog Related,United Kingdom
AIRLORD,1695,Symphonic Prog,New Zealand
AIRSCULPTURE,2863,Progressive Electronic,United Kingdom
AISLES,2338,Neo-Prog,Chile
AIUA,6768,Post Rock/Math rock,United States
AJALON,1690,Symphonic Prog,United States
AKA MOON,1312,Jazz Rock/Fusion,Belgium
AKACIA,551,Symphonic Prog,United States
AKACIS,11747,Crossover Prog,United States
AKASHA,928,Psychedelic/Space Rock,Norway
AKASHIC,1999,Progressive Metal,Brazil
AKENATHON,11470,Crossover Prog,Argentina
AKERCOCKE,12187,Tech/Extreme Prog Metal,United Kingdom
AKIN,6779,Crossover Prog,France
AKINETÓN RETARD,2074,RIO/Avant-Prog,Chile
"AKKERMAN, JAN",2091,Jazz Rock/Fusion,Netherlands
AKO DOMA,3699,Eclectic Prog,Slovakia
AKPHAEZYA,4114,Experimental/Post Metal,France
AKRIBI,6766,Progressive Metal,Sweden
AKRITAS,2824,Eclectic Prog,Greece
AKROMA,5967,Experimental/Post Metal,France
AKRON,5514,Rock Progressivo Italiano,Italy
AKROPOLIS,6946,Crossover Prog,Denmark
AKSAK MABOUL,1306,RIO/Avant-Prog,Belgium
AKT,3898,Eclectic Prog,Italy
AKTUALA,1481,Prog Folk,Italy
AL SABO,8367,Post Rock/Math rock,United States
ALAIN ECKERT QUARTET,10974,Jazz Rock/Fusion,Belgium
ALAMAAILMAN VASARAT,1307,RIO/Avant-Prog,Finland
ALAMEDA,2421,Symphonic Prog,Spain
ALAMEDA 5,10156,Psychedelic/Space Rock,Poland
"ALARCEN, JEAN-PIERRE",3584,Eclectic Prog,France
ALARION,10179,Progressive Metal,Netherlands
ALARMIST,11772,Post Rock/Math rock,Ireland
ALARUM,2616,Tech/Extreme Prog Metal,Australia
ALAS,2060,Jazz Rock/Fusion,Argentina
ALASEHIR,3276,Psychedelic/Space Rock,United States
ALASKA,13,Symphonic Prog,United States
ALASKA RANGE,3473,Krautrock,Switzerland
ALASKAN,6754,Experimental/Post Metal,Canada
ALBATROS,4225,Heavy Prog,Spain
ALBATROS,1573,Eclectic Prog,Germany
ALBATROSS,1791,Symphonic Prog,United States
ALBER JUPITER,10929,Psychedelic/Space Rock,France
ALBERGO INTERGALATTICO SPAZIALE,2862,Progressive Electronic,Italy
"ALBERO DEL VELENO, L'",8385,Rock Progressivo Italiano,Italy
ALBERO MOTORE,2502,Prog Related,Italy
ALBINOBEACH,4768,Post Rock/Math rock,South Africa
ALBION,12,Neo-Prog,Poland
ALBOTH!,9941,RIO/Avant-Prog,Switzerland
"ALBUM LEAF, THE",2584,Post Rock/Math rock,United States
ALCÀNTARA,10997,Psychedelic/Space Rock,Italy
ALCATRAZ,2322,Krautrock,Germany
ALCEST,5038,Experimental/Post Metal,France
ALCHEMIST,2775,Tech/Extreme Prog Metal,Australia
ALCHEMY ROOM,5185,Progressive Metal,Italy
ALCHEMY X,2835,Progressive Metal,United States
ALCO FRISBASS,9426,Eclectic Prog,France
ALCYONE,12592,Tech/Extreme Prog Metal,United States
ALDENFIELD,10197,Heavy Prog,United States
"ALDER, RAY",11567,Progressive Metal,United States
ALDI DALLO SPAZIO,11656,Heavy Prog,Italy
"ALDRICH / ZOLDER ELLIPSIS, TOM",11269,RIO/Avant-Prog,Netherlands
ALEPH,10017,Crossover Prog,Australia
ALETHEIAN,2494,Progressive Metal,United States
ALEVAS,10349,Progressive Metal,Japan
ALEX DELIVERY,3195,Psychedelic/Space Rock,United States
ALEX ORIENTAL EXPERIENCE,4531,Krautrock,Germany
ALEX'S HAND,9893,RIO/Avant-Prog,United States
"ALEXANDER, REESE",10615,Progressive Metal,United States
ALEXL,1130,Eclectic Prog,Brazil
ALFA PROG,11579,Progressive Metal,Italy
ALFHEIMR,6127,Post Rock/Math rock,United States
ALFIE RYNER,8425,RIO/Avant-Prog,France
"ALFORD, CLEM",1715,Indo-Prog/Raga Rock,United Kingdom
ALGABAS,9010,Heavy Prog,Russia
ALGARAVIA,2199,Heavy Prog,Brazil
ÄLGARNAS TRÄDGÅRD,1015,Psychedelic/Space Rock,Sweden
ALGEBRA,1413,Rock Progressivo Italiano,Italy
ALGERNON,5228,Eclectic Prog,United States
ALGOPHOBIA,6736,Tech/Extreme Prog Metal,Italy
ALHAMBRA,3721,Psychedelic/Space Rock,Italy
ALHENA,11219,Progressive Metal,Poland
ALHMA MATER,5308,Progressive Metal,Spain
ALIANTE,10516,Rock Progressivo Italiano,Italy
ALIAS,11638,Crossover Prog,Italy
ALIAS EYE,792,Crossover Prog,Germany
ALICE,3453,Psychedelic/Space Rock,France
ALICE'S MIRROR,11048,Eclectic Prog,Italy
ALIEN PLANETSCAPES,4319,Psychedelic/Space Rock,United States
ALIENTAR,1896,Psychedelic/Space Rock,United States
"ALIFANTIS, NICU",5773,Prog Folk,Romania
ALIO DIE,4220,Progressive Electronic,Italy
"ALISCIONI, ALESSANDRO",7011,Rock Progressivo Italiano,Italy
ALITHEIA,3786,Progressive Metal,United States
ALITHIA,7854,Psychedelic/Space Rock,Australia
ALIZARIN,10747,Heavy Prog,United States
ALKALOID,9379,Tech/Extreme Prog Metal,Germany
ALKALYS,12564,Experimental/Post Metal,France
ALKEMY,8353,Jazz Rock/Fusion,France
ALKEMYST,3321,Progressive Metal,France
ALKERA,12859,Progressive Metal,Turkey
ALKIMYA,4857,Progressive Metal,France
ALKOTRIO,5174,Jazz Rock/Fusion,Russia
ALKOZAUR,6924,Neo-Prog,France
ALKUHARMONIAN KANTAJA,12023,Tech/Extreme Prog Metal,Finland
ALL ANGELS GONE,4054,Post Rock/Math rock,France
ALL DREAMS DYING,5968,Tech/Extreme Prog Metal,Finland
ALL HANDS MAKE LIGHT,12603,Post Rock/Math rock,Canada
ALL IMAGES BLAZING,11864,Crossover Prog,Japan
ALL INDIA RADIO,11271,Post Rock/Math rock,Australia
ALL OVER EVERYWHERE,5803,Crossover Prog,United States
ALL SHADES OF WRONG,11277,Heavy Prog,Spain
ALL THINGS FALLEN,10995,Progressive Metal,Sweden
ALL TOO HUMAN,1878,Progressive Metal,United States
ALL TRAPS ON EARTH,10657,Symphonic Prog,Sweden
ALL WILL BE QUIET,8941,Post Rock/Math rock,Finland
ALL YOU'VE SEEN,8942,Post Rock/Math rock,Switzerland
ALLEGORY CHAPEL LTD,7207,Progressive Electronic,United States
ALLEGRI LEPROTTI,6520,Rock Progressivo Italiano,Italy
"ALLEN & MICROCOSMIC, DAEVID",2782,Progressive Electronic,United Kingdom
"ALLEN, DAEVID",3524,Canterbury Scene,Australia
ALLEY,6190,Tech/Extreme Prog Metal,Russia
ALLOMERUS,8178,Eclectic Prog,Australia
"ALLSTAR PROJECT, THE",3572,Post Rock/Math rock,Portugal
"ALLUMINOGENI, GLI",1926,Rock Progressivo Italiano,Italy
ALLUSTE,9613,Progressive Electronic,Italy
ALMA,12612,Crossover Prog,Argentina
ALMA SIDERIS,5245,Neo-Prog,Italy
ALMO,12759,Progressive Metal,Sweden
ALMÔNDEGAS,4032,Prog Folk,Brazil
ALMS,8203,Symphonic Prog,Spain
ALMUADEM,3354,Psychedelic/Space Rock,Portugal
ALOGIA,1767,Progressive Metal,Serbia
ALON,1649,Eclectic Prog,United States
ALPHA CENTAURY,1558,Symphonic Prog,France
ALPHA GALATES,5969,Progressive Metal,Canada
ALPHA III,14,Symphonic Prog,Brazil
ALPHA LIGHTING SYSTEM,9864,Crossover Prog,Mexico
ALPHA MALE TEA PARTY,10779,Post Rock/Math rock,United Kingdom
ALPHA NORD,10095,Psychedelic/Space Rock,Germany
ALPHA OMEGA,3998,Psychedelic/Space Rock,Australia
ALPHA RALPHA,5931,Eclectic Prog,France
ALPHA WAVE MOVEMENT,9209,Progressive Electronic,United States
ALPHA ZENTRADI,3949,Progressive Metal,United States
ALPHAJORGE,11145,Crossover Prog,Brazil
ALPHATAURUS,469,Rock Progressivo Italiano,Italy
ALQUILBENCIL,637,Eclectic Prog,Spain
ALQUIN,1333,Eclectic Prog,Netherlands
ALRIGHT THE CAPTAIN,7755,Post Rock/Math rock,United Kingdom
ALRUNE ROD,3109,Psychedelic/Space Rock,Denmark
ALSO EDEN,3145,Neo-Prog,United Kingdom
ALTA FORMA,12311,Crossover Prog,United Kingdom
ALTABLANCA,8979,Eclectic Prog,Argentina
ALTAIR,975,Eclectic Prog,Spain
ALTAÏS,5458,Zeuhl,France
ALTAR OF PLAGUES,4714,Experimental/Post Metal,Ireland
ALTARE THOTEMICO,5066,Rock Progressivo Italiano,Italy
ALTAVIA,6314,Neo-Prog,Italy
ALTER ECHO,2300,Symphonic Prog,Sweden
ALTERA ENIGMA,3132,Tech/Extreme Prog Metal,Australia
ALTERED STATE,6076,Heavy Prog,United States
ALTERED STATES,3106,RIO/Avant-Prog,Japan
ALTERED SYMMETRY,6909,Progressive Metal,Colombia
ALTERNATIV QUARTET,6154,Eclectic Prog,Romania
ALTERNATIVE 4,8372,Crossover Prog,United Kingdom
ALTERS,3264,Eclectic Prog,Poland
ALTESIA,11230,Progressive Metal,France
ALTHEA,10841,Heavy Prog,Italy
"ALTMAYER, MICHEL",9473,Eclectic Prog,France
ALTO STRATUS,9512,Progressive Electronic,United Kingdom
ALTONA,3432,Progressive Metal,Turkey
ALTONA,5498,Krautrock,Germany
ALTRUISMOS,5097,Jazz Rock/Fusion,Argentina
ALTURA,1111,Progressive Metal,United States
ALUK TODOLO,3428,Krautrock,France
ALUMBRADOS,8075,Indo-Prog/Raga Rock,United States
ALUSA FALLAX,477,Rock Progressivo Italiano,Italy
ALUX NAHUAL,3207,Crossover Prog,Guatemala
ALVA,9756,Prog Folk,Multi-National
"ALVARADO, LEON",9937,Symphonic Prog,United States
"ALVAREZ, SERGIO",5615,Symphonic Prog,Argentina
ALWAYS ALMOST,485,Prog Related,United States
ALY,4080,Progressive Metal,Mexico
AM FOST LA MUNTE SI MI-A PLACUT,10583,Post Rock/Math rock,Romania
AMAGRAMA,1282,Symphonic Prog,Argentina
AMALGAM EFFECT,10339,Heavy Prog,United States
AMANDA,3224,Neo-Prog,Belgium
AMANITA,484,Prog Folk,Italy
AMARA,7974,Experimental/Post Metal,United States
AMARAN'S PLIGHT,3060,Progressive Metal,United States
AMARILLO CIAN Y MAGENTA,3558,Jazz Rock/Fusion,Costa Rica
AMARIONETTE,11134,Psychedelic/Space Rock,Portugal
AMAROK,1299,Prog Folk,Spain
AMAROK,2064,Crossover Prog,Poland
AMARTIA,11719,Crossover Prog,France
AMARYLLIS,5877,Progressive Metal,Poland
AMASEFFER,3789,Progressive Metal,Israel
AMATERAZU,9768,Experimental/Post Metal,Portugal
AMAZE KNIGHT,8467,Progressive Metal,Italy
AMAZING BLONDEL,698,Prog Folk,United Kingdom
AMAZING MACHINE,9440,Crossover Prog,Norway
"AMAZING, THE",7548,Crossover Prog,Sweden
"AMBARCHI, OREN",12780,Eclectic Prog,Australia
AMBEON,914,Experimental/Post Metal,Netherlands
AMBER,4031,Prog Folk,United Kingdom
"AMBER LIGHT, THE",1165,Prog Related,Germany
AMBER ROUTE,5530,Progressive Electronic,United States
AMBERFIELD,10570,Crossover Prog,Germany
AMBIENTE,4771,Post Rock/Math rock,Mexico
AMBIGRAM,11774,Crossover Prog,Italy
AMBROSIA,899,Prog Related,United States
AME SON,2571,Psychedelic/Space Rock,France
AMENOPHIS,15,Symphonic Prog,Germany
AMENRA,4832,Experimental/Post Metal,Belgium
"AMENTA, THE",5860,Tech/Extreme Prog Metal,Australia
"AMERICAN DOLLAR, THE",3373,Post Rock/Math rock,United States
AMERICAN DRAFT,11081,Heavy Prog,United States
AMERICAN HOLLOW,5893,Progressive Metal,United States
AMESOEURS,5036,Experimental/Post Metal,France
AMGALA TEMPLE,10659,Psychedelic/Space Rock,Norway
AMIA VENERA LANDSCAPE,6303,Experimental/Post Metal,Italy
AMIENSUS,12805,Progressive Metal,United States
AMIGDALA,8569,Jazz Rock/Fusion,Italy
AMITY IN FAME,9071,Crossover Prog,Austria
"AMLEE, ERIK",3374,Indo-Prog/Raga Rock,United States
AMMINISTRAZIONE CAOS POPOLARE,9652,Rock Progressivo Italiano,Italy
AMOEBA SPLIT,5939,Canterbury Scene,Spain
AMOEBIC ENSEMBLE,5094,RIO/Avant-Prog,United States
AMOGH SYMPHONY,4989,Tech/Extreme Prog Metal,India
AMON,3544,Progressive Electronic,Italy
AMON DÜÜL,1994,Krautrock,Germany
AMON DÜÜL,1940,Krautrock,United Kingdom
AMON DÜÜL II,855,Krautrock,Germany
AMON RA,7814,Neo-Prog,Germany
AMONULLUNOMA,6412,Psychedelic/Space Rock,Ireland
AMORPHIS,12671,Progressive Metal,Finland
"AMORPHOUS ANDROGYNOUS, THE",4425,Psychedelic/Space Rock,United Kingdom
AMOS KEY,2321,Symphonic Prog,Germany
"AMOS, TORI",5755,Crossover Prog,United States
AMPACITY,8269,Psychedelic/Space Rock,Poland
AMPERA,8228,Crossover Prog,Norway
AMPHETAMIN,9770,Crossover Prog,France
AMPLEDEED,9144,Eclectic Prog,United States
AMPLIFIER,1911,Psychedelic/Space Rock,United Kingdom
AMPS FOR CHRIST,2236,Indo-Prog/Raga Rock,United States
AMUSIA,8110,Heavy Prog,Canada
AMUZEUM,11322,Symphonic Prog,United States
AMYGDALA,3365,Zeuhl,Japan
AN ABSTRACT ILLUSION,12307,Tech/Extreme Prog Metal,Sweden
AN DRO,7353,Prog Folk,Germany
AN ISLE ATE HER,8078,Tech/Extreme Prog Metal,United States
AN ISOLATED MIND,12117,Experimental/Post Metal,United States
ANA NEVER,6230,Post Rock/Math rock,Serbia
ANABASI ROAD,9063,Heavy Prog,Italy
ANABASIS,10879,Progressive Metal,United States
"ANABASIS, THE",6858,Heavy Prog,United States
ANABIS,16,Symphonic Prog,Germany
ANACHRONISM,12496,Tech/Extreme Prog Metal,Switzerland
ANACHRONOS,5971,Progressive Metal,Chile
ANACONDIA,3587,Rock Progressivo Italiano,Italy
ANACRUSA,2486,Prog Folk,Argentina
ANACRUSIS,1516,Progressive Metal,United States
ANAID,5954,Zeuhl,France
ANAKDOTA,10194,Eclectic Prog,Israel
ANALECTA,7740,Post Rock/Math rock,United States
ANALOG MISSIONARY,3839,Crossover Prog,United States
"ANALOGUE, THE",8039,Crossover Prog,United Kingdom
ANALOGY,526,Psychedelic/Space Rock,Italy
ANAMOR,1378,Neo-Prog,Poland
ANAMORPHOSE,2790,Jazz Rock/Fusion,France
ANANE,10727,Eclectic Prog,Indonesia
ANANGA RANGA,9818,Jazz Rock/Fusion,Portugal
ANANKE,7575,Neo-Prog,Poland
ANANTA,5768,Crossover Prog,Venezuela
"ANARCHISTISCHE ABENDUNTERHALTUNG, DIE",3245,RIO/Avant-Prog,Belgium
ANASAZI,4047,Progressive Metal,France
ANATA,3191,Tech/Extreme Prog Metal,Sweden
ANATHEMA,1038,Experimental/Post Metal,United Kingdom
ANATHEME,6243,Post Rock/Math rock,France
ANATROFOBIA,5091,RIO/Avant-Prog,Italy
ANAWA,9035,Crossover Prog,Poland
ANAXES,7833,Progressive Metal,Brazil
ANCESTORS,4888,Experimental/Post Metal,United States
ANCESTRY,1156,Rock Progressivo Italiano,Italy
"ANCESTRY PROGRAM, THE",10869,Neo-Prog,Germany
ANCHOR AND BURDEN,12458,Eclectic Prog,Various
