artist,origin
Sugar Ray,"Newport Beach, California, U.S.[1]"
Amon Amarth,"Tumba, Sweden"
Roy Harper,"Rusholme, Manchester, England"
Biffy Clyro,"Kilmarnock, Scotland"
Kasabian,"Leicester, England"
Helmet,"New York City, U.S."
Soft Machine,"Canterbury, England"
Morrissey,"Davyhulme, England"
Liz Phair,"Chicago, Illinois, U.S."
Badly Drawn Boy,"Bolton, Greater Manchester, England"
Grand Funk Railroad,"Flint, Michigan, U.S."
The Modern Lovers,"Natick, Massachusetts, U.S."
God Forbid,"East Brunswick, New Jersey, U.S."
ZZ Top,"Houston, Texas, U.S."
At the Gates,"Gothenburg, Sweden"
Pavement,"Stockton, California, U.S."
Nickelback,"Hanna, Alberta, Canada"
Millencolin,"Örebro, Sweden"
TV on the Radio,"Brooklyn, New York, U.S."
John Mayer,"Bridgeport, Connecticut, U.S."
The Byrds,"Los Angeles, California, U.S."
1349,"Oslo, Norway"
Dream Theater,"Boston, Massachusetts, United States"
Creedence Clearwater Revival,"El Cerrito, California, U.S."
The Radio Dept.,"Lund, Sweden"
Carcass,"Liverpool, England"
Cocteau Twins,"Grangemouth, Falkirk, Scotland"
Goo Goo Dolls,"Buffalo, New York, U.S."
Neurosis,"Oakland, California, U.S."
Novembre,"Catania, Italy"
Harry Nilsson,"Los Angeles, California, U.S."
Ween,"New Hope, Pennsylvania, U.S."
Snow Patrol,"Dundee, Scotland"
Idlewild,"Edinburgh, Scotland"
Uriah Heep,"London, England"
The Marshall Tucker Band,"Spartanburg, South Carolina, U.S."
The Eighties Matchbox B-Line Disaster,"Brighton, England"
Beulah,"San Francisco, California, United States"
Tracy Chapman,"Cleveland, Ohio, U.S."
Mahavishnu Orchestra,"New York City, U.S."
Stuart Hamm,"New Orleans, Louisiana, US"
Jefferson Airplane,"San Francisco, California, U.S."
Gorillaz,"London, England"
Lykathea Aflame,"Praha, Hlavní město Praha, Czechia"
Quicksilver Messenger Service,"San Francisco, California, U.S."
Scissor Sisters,"New York City, U.S."
Lamb,"Manchester, England"
t.A.T.u.,"Moscow, Russia"
White Noise,"Billingham, UK"
Shania Twain,"Timmins, Ontario, Canada"
Can,"Cologne, West Germany"
Slowdive,"Reading, Berkshire, England"
The Jesus and Mary Chain,"East Kilbride, Scotland"
A Perfect Circle,"Los Angeles, California, U.S."
Counting Crows,"San Francisco Bay Area, California, United States"
Therapy?,"Larne, Northern Ireland"
Cold,"Jacksonville, Florida, U.S."
George Harrison,"Liverpool, England"
Ryan Adams,"Jacksonville, North Carolina, U.S."
Liquid Tension Experiment,"New York City, United States"
Arsis,"Virginia Beach, Virginia, U.S."
Bathory,"Vällingby, Sweden"
Borknagar,"Bergen, Norway"
Mogwai,"Glasgow, Scotland"
The Specials,"Coventry, England"
The Twilight Singers,"New Orleans, Louisiana, U.S."
Mr. Bungle,"Eureka, California, U.S."
Warren Zevon,"Chicago, Illinois, U.S."
Marilyn Manson,"Fort Lauderdale, Florida, U.S."
Kittie,"London, Ontario, Canada"
The Stills,"Montreal, Quebec, Canada"
Razorlight,"London, England"
The Presidents of the United States of America,"Seattle, U.S."
Velvet Revolver,"Rancho Santa Margarita, California, U.S."
Lamb of God,"Richmond, Virginia, U.S."
Dead Kennedys,"San Francisco, California, U.S."
Reuben,"Camberley, Surrey, England"
Finger Eleven,"Burlington, Ontario, Canada"
LCD Soundsystem,"Brooklyn, New York, United States"
Ozzy Osbourne,"Marston Green, England"
InMe,"Brentwood, Essex, England"
Dr. John,"Hounslow, London, England"
Kings of Convenience,"Bergen, Norway"
Stone Temple Pilots,"San Diego, California, U.S."
Jet,"Melbourne, Victoria, Australia"
Saves the Day,"Princeton, New Jersey, U.S."
Underoath,"Tampa, Florida, U.S."
Sleater-Kinney,"Olympia, Washington, United States"
Bloc Party,"London, England"
Kings of Leon,"Mount Juliet, Tennessee, U.S."
Mercury Rev,"Buffalo, New York, United States"
Dismember,"Stockholm, Sweden"
New Riders of the Purple Sage,"San Francisco, California, U.S."
Deep Purple,"London, England"
Alien Ant Farm,"Riverside, California, U.S."
Skindred,"Newport, Wales"
Kaiser Chiefs,"Leeds, England"
The Futureheads,"Sunderland, England"
Bad Religion,"Los Angeles, California, U.S."
The Academy Is...,"Chicago, Illinois, U.S."
The Breeders,"Dayton, Ohio, U.S."
The Delgados,"Glasgow, Scotland"
Throwdown,"Orange County, California, U.S."
Peach,"London, England"
No-Man,"Hemel Hempstead, Hertfordshire, England"
Korn,"Bakersfield, California, U.S."
Coroner,"Zürich, Switzerland"
Black Flag,"Hermosa Beach, California, U.S."
Mansun,"Chester, England"
The Millennium,"Los Angeles, California, U.S."
The Tea Party,"Windsor, Ontario, Canada"
Black Label Society,"Los Angeles, California, U.S."
311,"Omaha, Nebraska, U.S."
Zao,"Parkersburg, West Virginia"
The Calling,"Los Angeles, California, U.S."
Maroon 5,"Los Angeles, California, U.S."
Willy Mason,"New York City, United States"
Showbread,"Guyton, Georgia, U.S."
Tom Vek,"Davyhulme, England"
Temple of the Dog,"Seattle, Washington, U.S."
Howards Alias,"Southampton, Hampshire, UK"
Sly and The Family Stone,"San Francisco, California, U.S."
Bad Brains,"Washington, D.C., U.S."
Meat Loaf,"Dallas, Texas, U.S."
Alkaline Trio,"Chicago, Illinois, U.S."
The Vines,"Sydney, Australia"
